ref_mol	ref_frame	mol	frame	   rmsd
      1	        3	  0	   20	  3.032
      1	        3	  0	   21	  2.985
      1	        3	  0	   22	  3.012
      1	        3	  0	   23	  2.605
      1	        3	  0	   24	  3.227
      1	        3	  0	   25	  3.131
      1	        3	  0	   26	  3.450
      1	        3	  0	   27	  2.234
      1	        3	  0	   28	  3.171
      1	        3	  0	   29	  2.987
      1	        3	  0	   30	  2.979
      1	        3	  0	   31	  3.184
      1	        3	  0	   32	  2.995
      1	        3	  0	   33	  3.246
      1	        3	  0	   34	  3.242
      1	        3	  0	   35	  3.257
      1	        3	  0	   36	  3.188
      1	        3	  0	   37	  3.053
      1	        3	  0	   38	  2.984
      1	        3	  0	   39	  3.070
      1	        3	  0	   40	  2.960
      1	        3	  0	   41	  3.090
      1	        3	  0	   42	  3.235
      1	        3	  0	   43	  2.213
      1	        3	  0	   44	  2.946
      1	        3	  0	   45	  3.177
      1	        3	  0	   46	  3.032
      1	        3	  0	   47	  1.961
      1	        3	  0	   48	  2.956
      1	        3	  0	   49	  3.183
      1	        3	  0	   50	  2.822
      1	        3	  0	   51	  3.261
      1	        3	  0	   52	  2.819
      1	        3	  0	   53	  3.029
      1	        3	  0	   54	  2.912
      1	        3	  0	   55	  3.015
      1	        3	  0	   56	  3.428
      1	        3	  0	   57	  3.268
      1	        3	  0	   58	  3.156
      1	        3	  0	   59	  2.662
      1	        3	  0	   60	  2.990
      1	        3	  0	   61	  3.540
      1	        3	  0	   62	  2.961
      1	        3	  0	   63	  3.009
      1	        3	  0	   64	  3.278
      1	        3	  0	   65	  3.362
      1	        3	  0	   66	  3.099
      1	        3	  0	   67	  2.302
      1	        3	  0	   68	  3.334
      1	        3	  0	   69	  3.048
      1	        3	  0	   70	  3.194
      1	        3	  0	   71	  3.076
      1	        3	  0	   72	  3.225
      1	        3	  0	   73	  3.174
      1	        3	  0	   74	  3.137
      1	        3	  0	   75	  2.963
      1	        3	  0	   76	  3.050
      1	        3	  0	   77	  3.052
      1	        3	  0	   78	  2.888
      1	        3	  0	   79	  1.780
      1	        3	  0	   80	  3.157
      1	        3	  0	   81	  3.045
      1	        3	  0	   82	  3.163
      1	        3	  0	   83	  2.927
      1	        3	  0	   84	  2.928
      1	        3	  0	   85	  3.194
      1	        3	  0	   86	  2.981
      1	        3	  0	   87	  3.431
      1	        3	  0	   88	  2.998
      1	        3	  0	   89	  2.227
      1	        3	  0	   90	  2.990
      1	        3	  0	   91	  2.980
      1	        3	  0	   92	  3.062
      1	        3	  0	   93	  3.003
      1	        3	  0	   94	  3.171
      1	        3	  0	   95	  2.966
      1	        3	  0	   96	  3.360
      1	        3	  0	   97	  3.140
      1	        3	  0	   98	  3.439
      1	        3	  0	   99	  2.871
      1	        3	  1	    0	  3.164
      1	        3	  1	    1	  2.598
      1	        3	  1	    2	  2.148
      1	        3	  1	    4	  2.877
      1	        3	  1	    5	  2.327
      1	        3	  1	    6	  3.656
      1	        3	  1	    7	  2.314
      1	        3	  1	    8	  2.452
      1	        3	  1	    9	  3.339
      1	        3	  1	   10	  1.817
      1	        3	  1	   11	  3.138
      1	        3	  1	   12	  3.232
      1	        3	  1	   13	  3.645
      1	        3	  1	   14	  2.897
      1	        3	  1	   15	  3.535
      1	        3	  1	   16	  3.082
      1	        3	  1	   17	  3.552
      1	        3	  1	   18	  3.522
      1	        3	  1	   19	  3.259
      1	        3	  1	   20	  2.402
      1	        3	  1	   21	  3.598
      1	        3	  1	   22	  2.637
      1	        3	  1	   23	  3.647
      1	        3	  1	   24	  2.978
      1	        3	  1	   25	  2.140
      1	        3	  1	   26	  3.429
      1	        3	  1	   27	  3.015
      1	        3	  1	   28	  1.951
      1	        3	  1	   29	  2.708
      1	        3	  1	   30	  3.315
      1	        3	  1	   31	  3.266
      1	        3	  1	   32	  3.549
      1	        3	  1	   33	  1.917
      1	        3	  1	   34	  2.201
      1	        3	  1	   35	  2.810
      1	        3	  1	   36	  3.080
      1	        3	  1	   37	  3.324
      1	        3	  1	   38	  3.045
      1	        3	  1	   39	  3.617
      1	        3	  1	   40	  2.168
      1	        3	  1	   41	  3.605
      1	        3	  1	   42	  2.118
      1	        3	  1	   43	  3.640
      1	        3	  1	   44	  2.098
      1	        3	  1	   45	  2.542
      1	        3	  1	   46	  2.060
      1	        3	  1	   47	  2.219
      1	        3	  1	   48	  3.739
      1	        3	  1	   49	  3.514
      1	        3	  1	   50	  3.647
      1	        3	  1	   51	  3.387
      1	        3	  1	   52	  2.093
      1	        3	  1	   53	  2.762
      1	        3	  1	   54	  2.925
      1	        3	  1	   55	  3.492
      1	        3	  1	   56	  2.875
      1	        3	  1	   57	  4.299
      1	        3	  1	   58	  2.205
      1	        3	  1	   59	  2.021
      1	        3	  1	   60	  2.900
      1	        3	  1	   61	  3.283
      1	        3	  1	   62	  3.086
      1	        3	  1	   63	  3.578
      1	        3	  1	   64	  2.206
      1	        3	  1	   65	  2.063
      1	        3	  1	   66	  2.514
      1	        3	  1	   67	  2.957
      1	        3	  1	   68	  3.658
      1	        3	  1	   69	  2.993
      1	        3	  1	   70	  2.565
      1	        3	  1	   71	  2.804
      1	        3	  1	   72	  2.619
      1	        3	  1	   73	  2.018
      1	        3	  1	   74	  3.300
      1	        3	  1	   75	  3.178
      1	        3	  1	   76	  2.947
      1	        3	  1	   77	  2.963
      1	        3	  1	   78	  3.894
      1	        3	  1	   79	  2.554
      1	        3	  1	   80	  2.290
      1	        3	  1	   81	  2.988
      1	        3	  1	   82	  2.512
      1	        3	  1	   83	  2.869
      1	        3	  1	   84	  2.935
      1	        3	  1	   85	  3.266
      1	        3	  1	   86	  3.583
      1	        3	  1	   87	  3.657
      1	        3	  1	   88	  1.979
      1	        3	  1	   89	  2.670
      1	        3	  1	   90	  2.475
      1	        3	  1	   91	  3.374
      1	        3	  1	   92	  2.925
      1	        3	  1	   93	  3.593
      1	        3	  1	   94	  3.681
      1	        3	  1	   95	  3.725
      1	        3	  1	   96	  3.628
      1	        3	  1	   97	  3.597
      1	        3	  1	   98	  2.852
      1	        3	  1	   99	  3.689
      1	        4	  0	    0	  2.946
      1	        4	  0	    1	  3.389
      1	        4	  0	    2	  2.457
      1	        4	  0	    3	  2.814
      1	        4	  0	    4	  3.237
      1	        4	  0	    5	  3.158
      1	        4	  0	    6	  3.166
      1	        4	  0	    7	  2.462
      1	        4	  0	    8	  2.979
      1	        4	  0	    9	  3.319
      1	        4	  0	   10	  3.193
      1	        4	  0	   11	  3.186
      1	        4	  0	   12	  3.003
      1	        4	  0	   13	  3.046
      1	        4	  0	   14	  3.280
      1	        4	  0	   15	  3.235
      1	        4	  0	   16	  3.064
      1	        4	  0	   17	  3.219
      1	        4	  0	   18	  3.135
      1	        4	  0	   19	  3.122
